file,meeting_title,use_case
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,Food safety and controlled-environment compliance monitoring
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,Retail floor hazard detection to reduce liability exposure
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,Reduce injury and liability costs via targeted interventions
2529844c-2be9-4979-9296-deec8ab79944.json,Oak Motive Solutions | Voxel Value Presentation,Continuous AI safety coverage vs human observation
276c425a-9758-4d6e-845b-688667b0d6d5.json,Quarry Flow Logistics + Voxel Intro Call,Cross‑site safety analytics and benchmarking
2fb0bc4b-0c18-4eae-8ff8-988e11af0d41.json,Quarry Span Solutions VOXEL AI PARTNERSHIP,"Safety performance analytics, gamification, and automated reporting"
3a43e278-01b9-4daf-9ee7-978f585cf978.json,(ext) Voxel | Falcon Point Fabrication (LP brief),Operational productivity and safety program efficiency gains
4a8eec15-4283-4c69-aac7-42e507b8c061.json,Ridge Stack Industrial/Voxel pilot deliverables,High‑accuracy alerting and broad hazard detection coverage
5acbb9d9-77b9-4adb-bcd4-520dcb71a740.json,Trail Lift Works + Voxel - Deployment,Obstruction detection for Federal Safety Bureau compliance and fines avoidance
62eb5dc9-c22f-4846-92dd-07743da36faf.json,Voxel Follow Up,Evaluate value using claims and injury trends
62eb5dc9-c22f-4846-92dd-07743da36faf.json,Voxel Follow Up,Gamify adoption and safety behaviors
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91.json,Mason Line Supply / Voxel introduction,Safety program analytics and workflow management
6a626eda-a54b-4bbc-a81d-8e11fd41428e.json,Riley/Cleo Check In,Food safety PPE compliance (hair nets and beard nets)
7e5e172b-e1f1-484e-872e-9174098d6ff6.json,Voxel sync,Safety tallying and follow-up workflow (tracking repeat offenders/situations)
8a7ff309-11af-4250-ab87-4b2cf88b0f52.json,(ext) Oak Motive Solutions | Voxel Sync,Early fire-related issue detection in mills
a4393e52-d7df-4f74-a9ac-48600f2c0007.json,Iron Grid Fabrication / Voxel Monthly Overview,Track and close the loop on safety corrective actions with the Actions workflow
a650d22c-3333-4a10-9dc1-7b8cd6199287.json,Voxel<>Beacon Line Supply Intro ,Safety analytics and interactive reporting across shops
ab25c025-3c1d-4127-8784-51d4c905ea23.json,Stone Peak Manufacturing + Voxel Reconnect,Enterprise safety analytics and summary view
ac14b2a4-2a18-45c0-9f6d-3956fb2f1e85.json,Jordan/Riley - Introduction,Food hygiene PPE compliance (hair nets and beard nets)
dd077f4c-3e4b-46aa-9945-d8fd10877195.json,Voxel / Vale Bridge Systems Training,Action tracking and accountability for safety interventions
dd2a6900-b843-4234-88ac-ecaa37ab4750.json,Voxel <> Noble Base Supply continued ,Safety reporting and coaching workflows
e4b2f981-a2ca-4c45-9257-ff6af898d095.json,Voxel Safety Intro: Copper Forge Industrial,Quantify impact of safety interventions with leading indicators and markers
e4b2f981-a2ca-4c45-9257-ff6af898d095.json,Voxel Safety Intro: Copper Forge Industrial,Assign and track safety actions with role-based access
f2575681-ad0f-4e62-bf7b-b9864ef724f1.json,Iron Flow Manufacturing + Voxel - Reconnect,Near-miss and property damage data for AP claims/investigations
fc07344d-07f9-44b8-9cd2-5df1719a946d.json,"Voxel Training- Summit Span Solutions, Northpoint Site",Safety incident reporting and trend analysis
fc07344d-07f9-44b8-9cd2-5df1719a946d.json,"Voxel Training- Summit Span Solutions, Northpoint Site",Safety performance benchmarking and goal tracking
