file,meeting_title,label
0511afa9-94d6-4a22-a384-11efbef34dfe.json,Voxel Legacy Drive Fabrication,augment lean store teams with automated observations/alerts
2529844c-2be9-4979-9296-deec8ab79944.json,Oak Motive Solutions | Voxel Value Presentation,continuous ai safety coverage vs human observation
276c425a-9758-4d6e-845b-688667b0d6d5.json,Quarry Flow Logistics + Voxel Intro Call,cross‑site safety analytics and benchmarking
45f3120e-3169-4083-8b5c-c97d0f20cb0c.json,Voxel AI Demo,forklift stop-at-intersection compliance tracking and analytics
45f8972e-4307-4256-adf1-45ca7a833e72.json,Voxel + Cleo Sloane Reconnect,ergonomics detection and real-time coaching (reduce injuries and costs)
5e295dd9-85e3-4dea-930e-545e8e8eba60.json,Prairie Bridge Systems / Voxel Monthly Sync,detect equipment set on dock plates
62eb5dc9-c22f-4846-92dd-07743da36faf.json,Voxel Follow Up,track intervention impact with platform markers
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91.json,Mason Line Supply / Voxel introduction,yard gate driver behavior logging for carrier compliance
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91.json,Mason Line Supply / Voxel introduction,door open/propped duration monitoring
6a626eda-a54b-4bbc-a81d-8e11fd41428e.json,Riley/Cleo Check In,enterprise-scale rollout across dcs and storefronts
7e5e172b-e1f1-484e-872e-9174098d6ff6.json,Voxel sync,safety tallying and follow-up workflow (tracking repeat offenders/situations)
8a7ff309-11af-4250-ab87-4b2cf88b0f52.json,(ext) Oak Motive Solutions | Voxel Sync,equipment issue monitoring
8a7ff309-11af-4250-ab87-4b2cf88b0f52.json,(ext) Oak Motive Solutions | Voxel Sync,early fire-related issue detection in mills
909a8d56-b5dc-4b0e-aff9-d097d46a0a58.json,Field Span Transport / Voxel:  Pick up discussions and confirm next steps,trailer pull-away detection at docks
950341d3-199c-40ca-a07d-f7771066f208.json,Pioneer Market Group Internal Sync - Deployment Phase,obstruction detection standardization across sites
a4393e52-d7df-4f74-a9ac-48600f2c0007.json,Iron Grid Fabrication / Voxel Monthly Overview,track and close the loop on safety corrective actions with the actions workflow
a650d22c-3333-4a10-9dc1-7b8cd6199287.json,Voxel<>Beacon Line Supply Intro ,safety analytics and interactive reporting across shops
aa7a4873-c2d8-41b6-bd05-0600530e7764.json,Blue Peak Services POC Week 2 Review,area controls (restricted zones and product placement policies)
ab25c025-3c1d-4127-8784-51d4c905ea23.json,Stone Peak Manufacturing + Voxel Reconnect,enterprise safety analytics and summary view
ac14b2a4-2a18-45c0-9f6d-3956fb2f1e85.json,Jordan/Riley - Introduction,driver exoneration using video evidence after a crash
be401ee4-de53-401a-b1ad-d26e3ae2d018.json,Jetty Steel Systems / Voxel Call,accountable coaching and training via actions tied to incident clips
cc1e178e-afef-484c-8a75-f025a6f882ec.json,Cobalt Plant Industrial / Voxel pilot discussion,drone-based remote inspection and auditing
dd077f4c-3e4b-46aa-9945-d8fd10877195.json,Voxel / Vale Bridge Systems Training,action tracking and accountability for safety interventions
e4b2f981-a2ca-4c45-9257-ff6af898d095.json,Voxel Safety Intro: Copper Forge Industrial,assign and track safety actions with role-based access
e4b2f981-a2ca-4c45-9257-ff6af898d095.json,Voxel Safety Intro: Copper Forge Industrial,quantify impact of safety interventions with leading indicators and markers
eca035c7-1e29-4bfc-adbf-ae4c7937c9dc.json,Forge Axis Solutions / Voxel Bi-Weekly Sync,assign incidents and track accountability
fc07344d-07f9-44b8-9cd2-5df1719a946d.json,"Voxel Training- Summit Span Solutions, Northpoint Site",safety incident reporting and trend analysis
fc07344d-07f9-44b8-9cd2-5df1719a946d.json,"Voxel Training- Summit Span Solutions, Northpoint Site",safety performance benchmarking and goal tracking
