file,use_case,n_voxel_quotes,evidence_joined
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Voxel-assigned actions to drive engagement and accountability,3,"I can see something that's low-hanging fruit, and I can assign the action, and I can make you the CC, the contributor. | As long as I know, person and shift, I can coordinate with my team to go, just give me one a day, or whatever you give me as a list. | now work at Ember Transit Logistics, and just dip the toe back in there a little bit, get them feeling good about it, commenting on it."
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Food safety and controlled-environment compliance monitoring,1,"They want to track food safety items like beard nets, hair nets, PPE, and door-open durations in sensitive areas."
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Retail floor hazard detection to reduce liability exposure,2,"They had something on the floor that led to a costly customer incident. | With our camera, we are going to see those floor hazards and notify them quickly."
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Vehicle idling monitoring (ports),1,"No speeding, no idling, suspended load when they're moving those, you know, those large boxes."
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Shrink/loss prevention from mishandling impacts,2,"That could have been shrink right there. So that product could have fell off and that could have been, you know, a loss for that. | From a efficiency standpoint, we can help be more efficient, reduce shrink."
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Reduce injury and liability costs via targeted interventions,3,One of the lower-hanging opportunities is reducing injury and liability costs. | we look at their historical incident data to understand the main drivers. | we create a summary presentation that focuses on the main opportunity areas and the kinds of improvements teams are looking for.
0672b03e-87a3-410a-977c-35e1d46245c5.json,Retail front-of-store liability reduction,2,We're exploring front-of-store retail use cases to help with liability issues. | Think broadly about what can go wrong in customer areas and the compliance issues that come with it.
0672b03e-87a3-410a-977c-35e1d46245c5.json,Supervisor accountability and action tracking in Voxel,4,"The actions really can help you track from beginning to end what is going on with, you know, those events, as well as it puts those markers automatically within the platform so that you're not having to constantly remind us or telling us what's going on where those markers get put in. We can actually track what is happening and then we can report that out to you. | we can see the number of times, and we don't need to go down by person, but you can go by person, but we can see the number of times those supervisors are logging in, the number of times they're creating an action or commenting, so when you start thinking about what your expectation of a supervisor is and are they living up to that expectation, it becomes a little, it'll be easier for you to track, right? | If they did or didn't do two a week, whatever your goal was, and that way it becomes a little bit more tangible to try to have to go through, and then the other point is we can definitely export those out. | If you want the line items to add to your tracker, that way you are keeping it in one consolidated place, we can pass that information over as well."
096964ad-8b87-401e-933c-984c56c0da56.json,Platform adoption and usage analytics reporting,4,"for the month of January, entire month of January, we only had dozens of logins to the platform from the Signal Grid Works side. | Like JM didn't log into the platform once in January. | those are metrics that we have easy access to that I can provide to you at whatever frequency you would want | at the end of each month, I can just kind of give you a report around that, too, just so you have, like, a line of sight."
09b3303f-0b38-49f8-8f9c-4d4f74337e9d.json,Security monitoring use cases (yard/internal),2,"Their special project, enhancing and building out some use cases that are slanted more to the security side of the house, safety, and so I would love to get kind of your take on what would be important from a security perspective, whether it's yard, internal, whatever, but I got to get one of our new product marketing folks online for that. | So just a heads up, I'd love to grab a half hour of your time and just do a deep dive on what would be important to you all from the security standpoint for some new use cases."
1268cde7-ca63-40df-8139-2f0c1907a21c.json,Report subscriptions and exports (PDF/CSV/PPT) for stakeholder sharing,3,"we also have options like subscriptions. So being able to say, hey, I want a weekly download of this information sent to my inbox. | the ability to export not only. Like a PDF format of this, but also the raw data | we're looking at three formats. The first being PDF... The second is that raw data exports... The third ... more of like a PowerPoint style export"
1268cde7-ca63-40df-8139-2f0c1907a21c.json,Team engagement leaderboards and gamification,2,"showing actions completed by site and actions completed by teammate, the leader of that for that timeframe, as well as kind of the legger in that. | a little healthy competition is good, you know, so like seeing that leaderboard concept... it's a great way to leverage kind of that gamification aspect"
1268cde7-ca63-40df-8139-2f0c1907a21c.json,Assign and track actions with accountability and reporting,3,"We've switched this to being multiple to just single because we heard a lot of feedback that you want like that single person to be know that they're accountable for carrying out this action. | This is optional, but you can toggle that on and you can add a due date any day from today forward. | you're going to see the totals, how many were assigned, how many were completed, and that average completion time."
1622341b-6874-4fe5-8639-838e30f97d41.json,Per-user language localization to Spanish,5,"Tamara, if you can hear us, on the last meeting, we mentioned the translation to Spanish. | That is now officially live. | For the rest of the team here, if anyone else wants Voxel to be displayed in any other language, Spanish included, you know, we recently rolled that out, so we can support that across the board. | It's per user. | You just go into your user profile and you can just toggle it on and off."
1ceceac2-19cc-44fe-98b7-0d94a06160d6.json,Reduce shrink by detecting product damage from PIT impacts,1,"Or they nick like a product, and that can also impact shrink. So that could be something that we can track as well."
