file,meeting_title,year,bucket,use_case,description,evidence_joined,n_evidence,n_customer_quotes,n_voxel_quotes,has_customer_quote,min_quote_len,avg_quote_len
01c88a52-b251-43eb-bdd9-51c94643c04e.json,Voxel Training- Cassidy @ Cedar Brook Foods,2022,safety,PIT-to-PIT proximity monitoring,"Monitor and analyze forklift-to-forklift proximity events to track safety risk trends, camera hotspots, and peak times at the site.","So this is one of your use cases that you're tracking today for Cedar Brook Foods pit-to-pit proximity. | at the camera-specific level, which of these have captured the most incidents in the past about a month over pit-to-pit proximity?",2,0,2,False,103,116.5
01c88a52-b251-43eb-bdd9-51c94643c04e.json,Voxel Training- Cassidy @ Cedar Brook Foods,2022,safety,Safety trend review and recommendations,Conduct regular reviews of incident trends detected by Voxel to identify opportunities and recommend changes for improving site safety.,"So that's when we really get together. Review the trends, understand what opportunities exist at the site, and then make recommendations for changes. | I'm going to add you to our sinks that we have on a biweekly cadence.",2,0,2,False,69,109.0
01c88a52-b251-43eb-bdd9-51c94643c04e.json,Voxel Training- Cassidy @ Cedar Brook Foods,2022,nonsafety,Video footage retrieval,Retrieve camera footage from the platform as needed.,"I do do a little bit of footage retrieval, but for the most part, more so technical manager of the system.",1,1,0,True,106,106.0
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Ember Transit Logistics / Voxel Monthly,2024,safety,Housekeeping: product on floor and palletization,Address frequent product left on the floor by ensuring items are staged on pallets to reduce safety hazards.,"I would say Ember Transit Logistics's biggest issue is constant product on the floor. | Just make sure products on a pallet. | I'm not going to, you know, make sure there's a pallet under the box.",3,0,3,False,36,63.3
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Ember Transit Logistics / Voxel Monthly,2024,safety,Ergonomic overreach prevention,Reduce high overreach by properly palletizing and staging product instead of pushing items on the floor.,"tell them to put the product on the pallet. | Quit pushing it on the floor to get this, you know, high overreach.",2,0,2,False,43,55.0
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Ember Transit Logistics / Voxel Monthly,2024,safety,Safe tool use for packaging (no tearing tape with teeth),Prevent injuries from tearing tape with teeth by using the proper hand wrap tool.,"Don't use your teeth to tear the tape. | That's how you cut your mouth. | But right, guys, that simple communication to say, use your hand wrap tool to cut it off.",3,0,3,False,30,52.3
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Ember Transit Logistics / Voxel Monthly,2024,safety,PIT use compliance for material movement,Encourage use of powered industrial trucks when moving items instead of manual handling to reduce risk.,"Please use your pit when you're moving things, right?",1,0,1,False,53,53.0
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Ember Transit Logistics / Voxel Monthly,2024,safety,Timely corrective actions and due dates for high-severity safety events,Use Voxel actions with defined due dates to ensure prompt closure of high-risk safety items per SOPs.,"Now we have actions where I'll give you a time frame that you have till a week from today to finish it. | I think that's effective, but at least we can start with, hey, your due date's X. | our SOP for the highs are within several hours. | So maybe like a few days. Let's do it that way. | through actions to keep that accountability loop going and closing all of those open items.",5,2,3,True,47,73.8
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Ember Transit Logistics / Voxel Monthly,2024,nonsafety,Supervisor training and adoption support,"Provide targeted, condensed training and outreach to supervisors—especially non-users—to make Voxel usage consistent and efficient.","And directly train them. | So that they know exactly how to use Voxel, because I think something that typically customers see as a deterrent at first is they go in, they don't know what to look for, and they think, oh my God, the volume of events is so high. | I think maybe if you wouldn't even mind, maybe the ones that are not doing it, because those would be the ones that are really kind of, worried about with them, why aren't they at least going in there once or logging in? | go into the dashboard five or a few minutes a couple of times per week.",4,1,3,True,24,136.5
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Ember Transit Logistics / Voxel Monthly,2024,nonsafety,Usage analytics to monitor and pinpoint adoption,Leverage the new homepage data to see who is logging in and use it to pinpoint managers and drive accountability.,"I really love the new page, the first page where I'm able to get all the data and the accurate of everybody who's been on. | Being used and, you know, through the program, giving me all that data has been really helpful to really pinpoint with these managers.",2,2,0,True,122,128.0
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Ember Transit Logistics / Voxel Monthly,2024,nonsafety,Voxel-assigned actions to drive engagement and accountability,Have the Voxel team assign low-hanging fruit actions to specific supervisors with Tara CC’d to help drive the work and re-engage users.,"I can see something that's low-hanging fruit, and I can assign the action, and I can make you the CC, the contributor. | As long as I know, person and shift, I can coordinate with my team to go, just give me one a day, or whatever you give me as a list. | now work at Ember Transit Logistics, and just dip the toe back in there a little bit, get them feeling good about it, commenting on it.",3,0,3,False,118,128.3
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Forklift collision and intersection compliance monitoring,Detect and alert on PIT-to-PIT and PIT-to-pedestrian proximity and failures to stop at intersections to prevent warehouse collisions.,"And typically these are more high risk, like pit to pit, which is power industrial trucks or pit to pit into civilians. | This is tracking two things, pit to pit and no stop at intersection.",2,0,2,False,68,93.5
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Suspended load hazard detection,Monitor and alert when people are under or near suspended loads to prevent severe or fatal injuries.,"Like we have a suspended load that's coming out. Actually, think it might have just been released, and that's like, you need that split second, because if that thing falls, or whatever falls on that person, that person might be dead or memed, right? | No speeding, no idling, suspended load when they're moving those, you know, those large boxes. Like you don't want anyone standing under those.",2,0,2,False,143,196.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,PPE compliance monitoring (hard hats/vests),Ensure workers wear required PPE such as hard hats and high-visibility vests at industrial sites like ports.,"PPE, right? That's, you know, you've got to have the hard hats and vests and stuff like that.",1,0,1,False,93,93.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Retail floor hazard detection,Detect floor hazards and notify staff to reduce customer-facing risk in stores and other high-risk zones.,"We point to examples like this and say you probably want to watch this area more closely because it is higher risk. | They had something on the floor that led to a costly customer incident. | With our camera, we are going to see those floor hazards and notify them quickly so someone can address them sooner.",3,0,3,False,71,100.7
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Ergonomic risk detection (improper bending/overreaching),Identify ergonomic violations like improper bending and overreaching to drive coaching and reduce strains and sprains.,"Is there a way to, you know, improper bend, also bad, but not really bad, and overreaching, same thing. | So again, like ergo, it's probably gonna happen a thousand times a day, and it's not something that's like an imminent danger. | oh, actually, ergo is your biggest issue or overreaching is your biggest issue.",3,1,2,True,79,102.7
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Cell phone distraction monitoring,Detect and report workers using cell phones on the floor to reduce distraction-related safety risks.,"like we add like cell phones are coming out where we want to track people having, using their cell phones.",1,0,1,False,106,106.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Timely notifications and corrective action workflows,Send prompt notifications on safety incidents and enable assignment of corrective actions with owners and due dates.,"From here, you get notified through the available channels. | So if I want to sign this to someone, right? ... Like, want this done by today.",2,0,2,False,59,69.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Robot cell intrusion and safety interlock compliance monitoring,Watch robot workcells to detect people entering or bypassing fences/safety locks and prevent serious injuries.,"I install one camera to cover four robots so that anybody who goes near the robot when it's trying to do something can also, there's great videos of, you know, people getting killed as they approach a robot, which just swung around. | having something that's kind of like a big brother, then I'll come back to that big brother watching over to make sure nobody. It's jerry-rigging the fence and the security safety systems, the safety locks.",2,2,0,True,206,219.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Vehicle speed monitoring (ports),Monitor vehicle speeding in port operations to enforce safe driving behaviors and site rules.,"No speeding, no idling, suspended load when they're moving those, you know, those large boxes.",1,0,1,False,94,94.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Racking/structure impact detection and driver violation analysis,Detect forklift impacts on racking/structures and analyze preceding violations like speeding or failure to stop.,"every upright in his warehouse is destroyed. so I'm to the point where I walk through and I'm like, you need to shut down this entire aisle, like you can't put product in this aisle because all of it is so damaged | You can do no PEDSA, no speeding, stopping, like, so we can track that, like, okay, he hit this, he went too fast, he didn't stop. And you can see that indicator. | on Wednesday, Jimmy decided back into the corner of this structure, caused this much damage, yada, yada, yada, right?",3,1,2,True,117,164.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Incident severity scoring and prioritization,Classify detected events by severity so teams focus response on the most dangerous issues first.,"Is there a way to kind of assign numbers to this, or is there, is that fraught with danger, severity? | There's stuff that we want to classify the severity that might, you know, distinguish, you know, your reaction or what needs to be taken in a course of action.",2,1,1,True,101,130.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Safety hotspot heat mapping,Use heat maps to locate where most incidents occur and prioritize monitoring and interventions.,"What we do is heat mapping. If we want to do an analyzation of where the most instances are, we'll show you.",1,0,1,False,108,108.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,safety,Reduce injury and liability costs via targeted safety interventions,Review historical incident patterns to identify top injury and liability drivers and target them with monitoring and coaching.,One of the lower-hanging opportunities is reducing injury and liability costs. | we look at their historical incident data to understand the main drivers. | we create a summary presentation showing the main opportunity areas and the kinds of improvements customers often look for.,3,0,3,False,73,91.3
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,nonsafety,Food safety and controlled-environment compliance monitoring,Track hairnets/beard nets and monitor door open durations in controlled environments to support food safety and product integrity.,"They want to track food safety items like beard nets, hair nets, PPE, and door-open durations in sensitive areas.",1,0,1,False,113,113.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,nonsafety,Retail floor hazard detection to reduce liability exposure,Detect floor hazards and notify staff to reduce customer incident risk and associated liability exposure.,"They had something on the floor that led to a costly customer incident. | With our camera, we are going to see those floor hazards and notify them quickly.",2,0,2,False,71,76.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,nonsafety,Vehicle idling monitoring (ports),Monitor idling to enforce operational policies and reduce fuel/emissions alongside speeding enforcement.,"No speeding, no idling, suspended load when they're moving those, you know, those large boxes.",1,0,1,False,94,94.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,nonsafety,Conveyor jam/no-obstruction detection and root-cause review,Use no-obstruction zones and captured video clips to detect conveyor jams and review pre-event footage for diagnosis.,"No obstruction zones, no blocking, like fire exits. You can do that on conveyor belts. | Whatever the duration you want to track, and then when it violates it for like 15, 30 seconds, you get flagged. | once we have a jam eye, we have this trigger event that says, hey, you've got a jam, but I would wonder if there's an ability to go back in time and say, look, this is the five seconds before that jam that happened, right? | wonder if there is a, when we collect that information, if how long the video clip is",4,1,3,True,85,126.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,nonsafety,Shrink/loss prevention from mishandling impacts,"Identify mishandling or collision events that could lead to product damage and shrink, enabling corrective action.","That could have been shrink right there. So that product could have fell off and that could have been, you know, a loss for that. | From a efficiency standpoint, we can help be more efficient, reduce shrink.",2,0,2,False,75,102.0
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,2022,nonsafety,Reduce injury and liability costs via targeted interventions,Leverage incident data to cut injury and liability costs by focusing on the main drivers.,One of the lower-hanging opportunities is reducing injury and liability costs. | we look at their historical incident data to understand the main drivers. | we create a summary presentation that focuses on the main opportunity areas and the kinds of improvements teams are looking for.,3,0,3,False,73,93.0
0511afa9-94d6-4a22-a384-11efbef34dfe.json,Voxel Legacy Drive Fabrication,2024,safety,Front-of-store hotspot monitoring,Focus monitoring on the parts of the store that see the most issues rather than covering the entire store.,"We always tend to have more issues up front during the holiday season. | That broader issue near the front of the store is what we keep running into. | If we could identify one or two areas of a store where most customer-related claims happen, is there an opportunity for us to focus on those areas without covering the entire store?",3,3,0,True,70,109.0
0511afa9-94d6-4a22-a384-11efbef34dfe.json,Voxel Legacy Drive Fabrication,2024,safety,Compliance monitoring: blocked exits and extinguishers,Detect and alert on compliance hazards such as blocked emergency exits and blocked fire extinguishers to prevent fines and reduce risk.,"Blocked Exits, Blocked Fire Extinguishers, those kind of things are also a good potential for us to focus on as well. | Obstructed Emergency Exits, if Federal Safety Bureau walks in, that's a huge fine.",2,2,0,True,82,99.5
0511afa9-94d6-4a22-a384-11efbef34dfe.json,Voxel Legacy Drive Fabrication,2024,safety,Augment lean store teams with automated observations/alerts,"Use AI-driven alerts and automated observations to assist understaffed stores, reduce manual safety observation time, and avoid adding workload to managers.","stores run with less and less team members, so how can we bring in, how can we assist our team members that maybe we don't have to hire that part-time, extra full-time person? | what we can't do is put something out there that's going to add a lot of workload | if you perform your typical safety observation, it takes around tens of minutes per observation. Utilizing voxel, it's about a third of that.",3,2,1,True,81,132.3
0511afa9-94d6-4a22-a384-11efbef34dfe.json,Voxel Legacy Drive Fabrication,2024,nonsafety,Shrink reduction via service alerts in high-risk aisles,"Notify staff when shoppers interact with high-shrink items or dwell at protected fixtures, prompting service-based engagement to deter theft.","I just simply would want to know when someone picks that up and walked away with it. | this item was removed from that particular shelf, and that's tied into the Voxel system, and then tied to an audio to the radios that lets the team member know that something was moved from that high shrink aisle. | identify individuals that are messing with lockup fixtures, right, or that are spending an inordinate amount of time at a lockup fixture.",3,3,0,True,84,144.7
0511afa9-94d6-4a22-a384-11efbef34dfe.json,Voxel Legacy Drive Fabrication,2024,nonsafety,Customer service alerts at fabric cutting and service areas,Alert team members when customers are waiting or lingering at the fabric cutting station or similar service areas to reduce wait times and improve satisfaction.,"They do not like waiting, not having someone at the cutting area. | This is a fix for the cutting area. | we can turn that customer quicker at the fabric area by notifying team members.",3,3,0,True,35,59.7
0511afa9-94d6-4a22-a384-11efbef34dfe.json,Voxel Legacy Drive Fabrication,2024,nonsafety,Merchandising analytics: dwell/end-cap engagement,"Provide insights on where shoppers congregate and how they engage with end caps and sets, including pickup activity, to inform marketing and merchandising decisions.","what areas of the store are being congregated the most. | Where are our shoppers spending the most time when they're in a store location, right? | if I set this end cap that had all this merchandise, tracking the sales of that, tracking how many people are drawn based on the From marketing to that end cap to drive a sale. | How many are picking up from that location?",4,4,0,True,43,90.0
0511afa9-94d6-4a22-a384-11efbef34dfe.json,Voxel Legacy Drive Fabrication,2024,nonsafety,Customer-incident evidence capture and faster closure,Improve capture of relevant in-store video/data to support review of customer-related incidents and enable faster closure.,"we all know that the appropriate film can save me a million dollars. | A lot of my claims begin with a customer walking in and end with a serious incident. | How can you help me fill those internal gaps while knowing I don't have a dime to spend on it? | The older a claim, the more expensive it gets.",4,4,0,True,46,73.0
0511afa9-94d6-4a22-a384-11efbef34dfe.json,Voxel Legacy Drive Fabrication,2024,nonsafety,Augment lean store teams with automated observations/alerts,"Use AI-driven alerts and automated observations to assist understaffed stores, reduce manual safety observation time, and avoid adding workload to managers.","stores run with less and less team members, so how can we bring in, how can we assist our team members that maybe we don't have to hire that part-time, extra full-time person? | what we can't do is put something out there that's going to add a lot of workload | if you perform your typical safety observation, it takes around tens of minutes per observation. Utilizing voxel, it's about a third of that.",3,2,1,True,81,132.3
0672b03e-87a3-410a-977c-35e1d46245c5.json,Signal Grid Works / Voxel Bi-Weekly Sync,2024,safety,Retail front-of-store monitoring,Monitor customer areas at the front of the store to reduce incidents and compliance issues.,We're exploring front-of-store retail use cases to help with liability issues. | Think broadly about what can go wrong in customer areas and the compliance issues that come with it.,2,0,2,False,78,89.0
0672b03e-87a3-410a-977c-35e1d46245c5.json,Signal Grid Works / Voxel Bi-Weekly Sync,2024,safety,PIT-to-pedestrian proximity trend analysis with rolling average,"Track PIT-to-pedestrian proximity using trend metrics (e.g., 4-week rolling average) to assess the impact of layout changes and reduce risky interactions.","so in this pit to pet stuff that you guys sent over, over here, I added a four-week rolling average, right? | So like, for example, like pit to pet, it was 21.5, 23.5, 22.5, and it basically stayed at 2, and then we changed the layout over there by grand, and now it's at 9. | And we didn't see a change until that actually happened, so it went from 21 to 19 to 18 to 17 to 15.",3,3,0,True,100,123.7
0672b03e-87a3-410a-977c-35e1d46245c5.json,Signal Grid Works / Voxel Bi-Weekly Sync,2024,safety,Ergonomics risk reduction via safety orientation and targeted coaching,Address improper bending and overreaching through a new safety orientation with hands-on practice and targeted refresher training for repeat behaviors.,"Kind of talked to them about the incidents and stuff like that and kind of showed them, you know, certain stuff with the improper bending and overreaching, kind of like get their perspective from it and what they think we can do about it. | We're currently in the middle of designing for orientation, like a safety class kind of a thing that they're going to go through. | They take boxes off the conveyor, how they should do it, use their power zone, bend properly, how to use – we have the orange cards, how to stack things properly, make sure it's not going to fall over, things of that nature. | if people – we see people consistently, you know, improperly bending, we can kind of take them to that coaching station or whatever we're going to call it and have them go through like a training. Like, hey, this is how we should be doing this.",4,4,0,True,129,208.8
0672b03e-87a3-410a-977c-35e1d46245c5.json,Signal Grid Works / Voxel Bi-Weekly Sync,2024,safety,Pedestrian walkway compliance and no-ped/no-stop zone enforcement,Focus monitoring on areas like the training office/ship desk to enforce no-pedestrian and no-stop rules within pedestrian walkways.,"just that, that training office, ship deck, ship desk camera, and really tackling the no-ped zones, like the no-stops in those, like those pedestrian walkways.",1,0,1,False,159,159.0
0672b03e-87a3-410a-977c-35e1d46245c5.json,Signal Grid Works / Voxel Bi-Weekly Sync,2024,nonsafety,Retail front-of-store liability reduction,Use monitoring in customer areas near the front of the store to help reduce liability exposure.,We're exploring front-of-store retail use cases to help with liability issues. | Think broadly about what can go wrong in customer areas and the compliance issues that come with it.,2,0,2,False,78,89.0
0672b03e-87a3-410a-977c-35e1d46245c5.json,Signal Grid Works / Voxel Bi-Weekly Sync,2024,nonsafety,Supervisor accountability and action tracking in Voxel,"Track supervisor engagement and follow-through using Voxel Actions and usage analytics, and export line items to existing coaching trackers.","The actions really can help you track from beginning to end what is going on with, you know, those events, as well as it puts those markers automatically within the platform so that you're not having to constantly remind us or telling us what's going on where those markers get put in. We can actually track what is happening and then we can report that out to you. | we can see the number of times, and we don't need to go down by person, but you can go by person, but we can see the number of times those supervisors are logging in, the number of times they're creating an action or commenting, so when you start thinking about what your expectation of a supervisor is and are they living up to that expectation, it becomes a little, it'll be easier for you to track, right? | If they did or didn't do two a week, whatever your goal was, and that way it becomes a little bit more tangible to try to have to go through, and then the other point is we can definitely export those out. | If you want the line items to add to your tracker, that way you are keeping it in one consolidated place, we can pass that information over as well.",4,0,4,False,148,281.5
0672b03e-87a3-410a-977c-35e1d46245c5.json,Signal Grid Works / Voxel Bi-Weekly Sync,2024,nonsafety,Use of Voxel boards for simple data visualization and team communication,"Supervisors use Voxel boards to view and discuss data with their teams, preferring it over other confusing tools.","I know they have been using it and they like it more than we have another way to look at data as far as our observations through, I forgot the name of the company, but there's another company we use and all the information there is very very confusing. | So they compared it to that and they're like, well, this is a lot easier to like understand, like it's pretty straightforward. | Or like how you navigate it, it's a lot cleaner. The other website, it's like, it's a nightmare, honestly. I'm pretty good with technology and I have no idea like how to use half that stuff. | So I think for the most part, it's just as of right now, it's them using just the data and kind of talking to their team with what they see.",4,4,0,True,126,177.0
096964ad-8b87-401e-933c-984c56c0da56.json,Gray Connect,2024,safety,"Hazard hotspot mitigation using heat maps and rapid interventions (e.g., cones)","Use Voxel heat maps to identify problem areas (e.g., the Zone Red) and implement quick physical controls like cones, then use platform feedback to assess impact and iterate.","I think John and Jay and Josh had said that they plan on putting some cones down and, you know, working through some things, but that may not happen for a couple weeks or months, which I think that is, like, the platform is meant to allow you to take action without having a perfect plan in place, right? | So I think we were waiting a little bit before, I think the heat maps was the next big thing, but we have those and I should probably put that on my list to do. | We're going to tell you whether or not that action is going to have the desired outcome or not very quickly, right? | Here's what the platform told us.",4,1,3,True,33,153.0
096964ad-8b87-401e-933c-984c56c0da56.json,Gray Connect,2024,safety,Use assigned clips and resolutions for coaching to reduce event frequencies,"Drive safety improvements by assigning AI-detected clips and tracking resolutions, enabling coaching conversations that correlate with drops in event frequencies.","But where we see, like, the assigning of clips and resolutions, like, where we see a lot of those actions taking place is – | Typically, there's a direct correlation between that and a success metric. | We're seeing drop in frequencies, et cetera, because people are taking the data and having coaching conversations or taking action, right? | To be honest, I don't think anything was assigned or resolved in January.",4,0,4,False,73,102.0
096964ad-8b87-401e-933c-984c56c0da56.json,Gray Connect,2024,nonsafety,Change management impact tracking and leadership storytelling,"Measure the effects of interventions with Voxel data and build a clear before/after story to present to leadership, including course corrections based on platform feedback.","It'd be really nice to have some data around, like, hey, we identified this issue of Zone Red. | Here are the steps we took. | Here's what the platform told us. | So actually implementing it, I think, is the next step, and I'll get with the steer co, and we can see what we can do to really push that in the next couple of weeks to actually measure what we're doing and get you guys a story to tell to leadership.",4,1,3,True,27,101.0
096964ad-8b87-401e-933c-984c56c0da56.json,Gray Connect,2024,nonsafety,Platform adoption and usage analytics reporting,"Provide regular usage metrics (e.g., logins, assignments/resolutions) to drive adoption and ensure sites are engaging with the platform.","for the month of January, entire month of January, we only had dozens of logins to the platform from the Signal Grid Works side. | Like JM didn't log into the platform once in January. | those are metrics that we have easy access to that I can provide to you at whatever frequency you would want | at the end of each month, I can just kind of give you a report around that, too, just so you have, like, a line of sight.",4,0,4,False,53,102.5
096964ad-8b87-401e-933c-984c56c0da56.json,Gray Connect,2024,nonsafety,Email summaries for insight without platform login,Use daily email summaries to provide awareness and insights to stakeholders who may not log into the platform.,"Yeah, I mean, outside of that, they're getting, like, daily email summaries, right? | So there's, like, information they're getting that allows them to get, like, some insight into what's happening without logging into the platform",2,1,1,True,83,114.0
096964ad-8b87-401e-933c-984c56c0da56.json,Gray Connect,2024,nonsafety,Potential expansion to retail stores,Consider deploying Voxel beyond distribution centers into retail stores.,"I think it's a super smart and effective tool that I think we should use, I think, definitely at our DCs, but maybe in the stores too, which would be cool.",1,1,0,True,155,155.0
09b3303f-0b38-49f8-8f9c-4d4f74337e9d.json,Mason Line Supply + Voxel,2023,safety,Ergonomic risk detection (improper bending and overreaching),"Detect and score improper bending and overreaching ergonomics to surface risky motions for coaching, using a defined thresholding method.","So I've been looking through it and I've seen the flames. | And first of all, it shows you like improper bend. | You know, it picks out the person who's going to bend improperly or the person who's going to overreach to get a piece of freight. | Okay, so the way that we categorize or determine threshold level on improper bend and overreaching, so our ergonomic use cases, is going to be with the Posture Risk Index scoring method, certain severity levels assigned to that.",4,3,1,True,50,116.2
09b3303f-0b38-49f8-8f9c-4d4f74337e9d.json,Mason Line Supply + Voxel,2023,safety,PIT–pedestrian proximity monitoring,"Monitor and flag close interactions between forklifts and pedestrians, including when a stationary person is near a moving PIT and during scanning at dock plates.","When we work, like sometimes we have two people working on a similar trailer. | While the machine is in, uh, is in motion. | so that thing is a little bit, you know, um, I think it's, it must have showing red flags on that for sure. | Now does it flag it if the pit is in motion but the person is standing still? | But in the case of a person, a stationary person in a mobile pit will flag. | What should be happening is the forklift stops on the dock plate and comes with a complete stop, the guy scans it, and then he backs up, and then the forklift goes in.",6,5,1,True,42,90.8
09b3303f-0b38-49f8-8f9c-4d4f74337e9d.json,Mason Line Supply + Voxel,2023,safety,PIT–PIT proximity monitoring,Detect and report close interactions between moving forklifts; identify and reduce PIT-to-PIT proximity incidents.,So both pits have to be moving to flag. | So a pit going by a stationary pit will not flag. | pit-to-pit procs down 40-80%.,3,0,3,False,29,39.0
09b3303f-0b38-49f8-8f9c-4d4f74337e9d.json,Mason Line Supply + Voxel,2023,safety,PIT speeding monitoring,Track and reduce forklift speeding incidents as a safety KPI.,"To see a 15-20% reduction across the board is significant, and then you're knocking it out of the park at almost every single category, 40-80% speeding.",1,0,1,False,152,152.0
09b3303f-0b38-49f8-8f9c-4d4f74337e9d.json,Mason Line Supply + Voxel,2023,safety,Safety risk hotspot and time-of-day analytics,"Use analytics to uncover systemic patterns of risk by location and time (e.g., hotspots and peak risk windows) to target floor interventions.","It's less about the one-off instance and really more about being able to uncover those systemic patterns of risk. | And so once you're into the platform, being able to dig into that, this is the location, the roll-up doors that has the highest area or location of frequency. | And Saturdays at 12 p.m.. | is going to be that peak risk window.",4,0,4,False,25,83.2
