file,meeting_title,use_case,min_quote_len,evidence_joined
031a0de2-6254-464a-9dc8-6b8accf041e6.json,Ember Transit Logistics / Voxel Monthly,Supervisor training and adoption support,24,"And directly train them. | So that they know exactly how to use Voxel, because I think something that typically customers see as a deterrent at first is they go in, they don't know what to look for, and they think, oh my God, the volume of events is so high. | I think maybe if you wouldn't even mind, maybe the ones that are not doing it, because those would be the ones that are really kind of, worried about with them, why aren't they at least going in there once or logging in? | go into the dashboard five or a few minutes a couple of times per week."
096964ad-8b87-401e-933c-984c56c0da56.json,Gray Connect,Change management impact tracking and leadership storytelling,27,"It'd be really nice to have some data around, like, hey, we identified this issue of Zone Red. | Here are the steps we took. | Here's what the platform told us. | So actually implementing it, I think, is the next step, and I'll get with the steer co, and we can see what we can do to really push that in the next couple of weeks to actually measure what we're doing and get you guys a story to tell to leadership."
1511c2ce-9507-4d8c-b99a-60e5bc21016f.json,Iron Forge Industrial | Voxel,Reduce implementation/training burden and false positives,17,"One thing that set that one apart from the others, but if you look at it, it's not very simple. | It's a little bit more difficult to use. | There's more of a learning curve. | There might be a little bit more time spent on the implementation side. | And I could see where some of their processes could lead to more time spent training as well to get it to not recognize, you know, everything that isn't something and only pick up the things that are important to us, right, or the things we want to pick up. | On yours, yours is super simple. | It's easy to use. | That's what I would say to Vermont as far as, like, what sets them apart is the simplicity and the accuracy, I guess, is the better way of putting it."
1622341b-6874-4fe5-8639-838e30f97d41.json,Rail Mill Transport / Voxel Check-in,Per-user language localization to Spanish,14,"Tamara, if you can hear us, on the last meeting, we mentioned the translation to Spanish. | That is now officially live. | For the rest of the team here, if anyone else wants Voxel to be displayed in any other language, Spanish included, you know, we recently rolled that out, so we can support that across the board. | It's per user. | You just go into your user profile and you can just toggle it on and off."
1ffac178-0eee-4534-8fac-8babb3831770.json,Voxel Ai + Iron Harbor Fleet Harbor Manufacturing,Attendance visibility and office usage analytics,27,"Like for attendance purposes, do you think leadership needs to have a better understanding of how people are coming into the office? | I don't think so, but that is nice. | So I'm assuming, I'm assuming a lot of the hiring, I'm sorry, the managers would actually like to know when their employees are coming in and out. | And with that, we track attendance and provide analytics. | Do you think leadership would | Want to have those numbers? | No, I don't think they're keeping track of it right now. | And to be transparent, it's included in Workplace. | So you would be able to see those numbers if they were looking."
249676e3-f866-4b77-a993-05b9da4f6638.json,Kodiak Point Fabrication + Voxel - Deployment,Open door duration monitoring,15,You mentioned open door durations. | We can do that.
249676e3-f866-4b77-a993-05b9da4f6638.json,Kodiak Point Fabrication + Voxel - Deployment,After-hours restricted area monitoring (time-based no-ped zones),29,"So, but maybe there's times super late at night, like, hey, no one in the back of the facility should be back there, right? | From like midnight to 6 a.m.. | We can do things around like things like that. | So you guys can be notified if, you know, someone's... | You know, back there when they shouldn't be back there. | You mentioned, are people hopping a fence? | But if there's something that's like the no-ped zone, right, like that would be a really good use for our email notification. | Hey, 3 a.m.., send an email to this person if someone's walking around the back of the facility, right, outside."
2529844c-2be9-4979-9296-deec8ab79944.json,Oak Motive Solutions | Voxel Value Presentation,Post-intervention markers and trend analysis for ROI,31,"I feel like identifying when we had one of those marker points, where, you know, up until that point, we had a thousand, you know, issues, and then Trey, we created a corrective action, we had a marker point, and then from then on, it's been a non-event. | We can go back and put that marker in, though. | the markers may be put in post."
37033189-bb15-419d-bd12-d9c07c44acbd.json,Impromptu Anchor Point Meetings Meeting,Per-camera heatmap drill-down by incident type for analysis,27,"It gives me date, but it doesn't give me what it is, right? | when I click on Riddick Press Camera, I wanted to see, maybe I'm asking for too much, but I want to see how many are improper bend, how many are overreaching, and how many are, | Forklift-to-Person Failure."
3a43e278-01b9-4daf-9ee7-978f585cf978.json,(ext) Voxel | Falcon Point Fabrication (LP brief),Operational productivity and safety program efficiency gains,31,"From an operational standpoint, you know, over time we can certainly prove out productivity gains. | Generally those are, you know, more related to workers being at work and not actually being out, you know, due to suffering a lost time injury. | But also we can generally identify savings around kind of like the efficiency gains associated with managing safety. | we're often able to, you know, correlate what the cost of that program was to administer in a pre and a post-Voxel state. | how can they be more efficient? | How can they be more productive?"
